,키워드,"PC
 검색량","MB
 검색량","전체
 검색량",속성,"지식인
글개수
","카페
 글개수","인플
 글개수","블로그
 글개수",1탭,2탭,3탭,4탭,5탭,6탭,7탭,8탭,9탭,10탭,접촉지점,"탭순서
갱신일",파워링크,브랜드컨텐츠,가격비교,네플스,클립,,관련문서,,,,,,,,,,인기글7,,인기글3,,스마트블록,뉴스,,웹문서,,동영상,,이미지,확인일,자리상단하단
525,허리아플때진통제,10,140,150,-,3,6,3,7,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,허리아플때좋은자세,30,90,120,-,3,6,3,5,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,허리아플때좋은운동,40,160,200,-,2,9,2,4,파워링크,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,허리아플때자세,110,930,"1,040",-,3,6,3,6,파워링크,이미지,네이버 클립,함께 많이 찾는,관련문서,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,허리아플때자는자세,80,230,310,-,2,7,2,6,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,허리아플때운동,"1,070","14,900","15,970",-,3,5,3,3,파워링크,건강 주제 네이버 메이트,인플루언서서비스 홈 바로가기,네이버 클립,브랜드 콘텐츠,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,허리아플때약,130,690,820,-,3,7,5,5,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,허리아플때앉는자세,60,140,200,-,3,6,3,6,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,허리아플때스트레칭,180,940,"1,120",-,2,8,2,5,파워링크,브랜드 콘텐츠,관련문서,네이버 클립,이미지,함께 많이 찾는,관련문서,네이버 가격비교,네이버플러스 스토어,웹문서,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,허리아플때수영,10,130,140,-,1,5,1,8,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,허리아플때병원어디로,10,120,130,-,2,11,2,4,관련문서,파워링크,관련문서,이미지,웹문서,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,허리아플때병원어디,40,460,500,-,3,10,3,2,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,허리아플때먹는약,50,130,180,-,3,7,3,5,관련문서,파워링크,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,허리아플때마사지,10,120,130,-,3,5,3,7,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,파워링크,함께 많이 찾는,관련문서,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,허리아플때눕는자세,100,"2,140","2,240",-,3,5,3,5,브랜드 콘텐츠,관련문서,파워링크,네이버 클립,함께 많이 찾는,관련문서,이미지,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,허리아플때눕는법,20,670,690,-,3,5,3,6,파워링크,관련문서,이미지,함께 많이 찾는,관련문서,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,허리아플때걷기운동,20,220,240,-,2,4,2,7,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,허리아플때걷기,40,200,240,-,2,6,2,5,관련문서,파워링크,네이버 가격비교,네이버플러스 스토어,네이버 클립,함께 많이 찾는,관련문서,이미지,웹문서,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,허리아플때가는병원,10,110,120,-,2,8,2,6,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,허리아프고다리저림,30,160,190,-,4,5,4,6,파워링크,함께 많이 찾는,관련문서,네이버 클립,이미지,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,허리아래통증,20,140,160,-,3,4,3,5,인플루언서서비스 홈 바로가기,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,허리신경차단주사,70,490,560,-,4,4,4,6,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,네이버 클립,함께 많이 찾는,관련문서,이미지,웹문서,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,허리신경차단술후기,30,130,160,-,0,12,0,7,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,동영상,함께 많이 찾는,관련문서,이미지,웹문서,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,허리신경차단술주사비용,10,120,130,-,0,9,1,8,파워링크,AI 브리핑,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,허리신경차단술주사,180,950,"1,130",-,3,5,3,6,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,네이버 클립,함께 많이 찾는,관련문서,이미지,웹문서,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,허리신경차단술비용,80,450,530,-,0,8,1,8,AI 브리핑,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,허리신경차단술,420,"3,740","4,160",-,2,5,2,6,파워링크,브랜드 콘텐츠,관련문서,이미지,함께 많이 찾는,관련문서,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,허리신경주사효과,40,650,690,-,2,5,2,9,AI 브리핑,건강 주제 네이버 메이트,파워링크,동영상,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,허리신경주사통증,20,280,300,-,2,5,2,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,네이버 클립,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,허리신경주사비용,30,150,180,-,2,8,3,4,AI 브리핑,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,허리신경주사부작용,20,220,240,-,2,7,2,7,AI 브리핑,건강 주제 네이버 메이트,네이버 클립,이미지,함께 많이 찾는,관련문서,웹문서,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,허리신경주사가격,60,630,690,-,2,9,2,5,파워링크,AI 브리핑,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,허리신경주사,280,"3,420","3,700",-,4,4,4,6,파워링크,브랜드 콘텐츠,네이버 클립,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,허리신경성형술후기,20,330,350,-,1,6,1,5,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,동영상,함께 많이 찾는,관련문서,이미지,웹문서,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,허리신경성형술회복기간,5,120,125,-,2,4,2,5,AI 브리핑,파워링크,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,허리신경성형술실비,50,280,330,-,1,7,1,7,AI 브리핑,관련문서,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,허리신경성형술비용,80,500,580,-,1,8,1,6,AI 브리핑,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,허리시술후다리저림,30,110,140,-,4,4,4,5,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,허리시술비용,30,680,710,-,2,7,2,5,파워링크,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,허리시술,130,"1,180","1,310",-,3,5,3,6,파워링크,브랜드 콘텐츠,인플루언서서비스 홈 바로가기,이미지,함께 많이 찾는,관련문서,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,허리스트레칭운동,10,150,160,-,3,5,3,5,AI 브리핑,건강 주제 네이버 메이트,파워링크,네이버 클립,이미지,함께 많이 찾는,관련문서,네이버 가격비교,네이버플러스 스토어,웹문서,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,허리스트레칭기구,520,"1,190","1,710",-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,허리스트레칭,590,"3,590","4,180",-,2,3,2,6,파워링크,건강 주제 네이버 메이트,부위별 운동법 정보,네이버 클립,건강·의학 브랜드 콘텐츠,인플루언서서비스 홈 바로가기,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,허리스트랩,30,200,230,-,0,0,0,0,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,패션 주제 네이버 메이트,파워링크,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,허리수술후재활,20,90,110,-,2,4,2,6,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,이미지,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,허리수술종류,30,140,170,-,3,4,3,3,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,허리수술잘하는병원,10,150,160,-,0,9,0,4,파워링크,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,허리수술잘하는곳,5,110,115,-,1,10,1,4,파워링크,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,허리수술비용,20,240,260,-,0,11,0,4,파워링크,AI 브리핑,이미지,함께 많이 찾는,관련문서,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,허리수술명의,20,110,130,-,2,5,2,8,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,허리수술,120,890,"1,010",-,2,5,2,6,파워링크,건강 주제 네이버 메이트,건강·의학 브랜드 콘텐츠,인플루언서서비스 홈 바로가기,네이버 가격비교,네이버플러스 스토어,이미지,뉴스,함께 많이 찾는,관련문서,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,허리삐끗병원어디로,10,140,150,-,3,9,3,4,AI 브리핑,파워링크,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,허리복대의료용,40,140,180,-,0,2,0,4,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,인기글,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,허리보호쿠션,20,100,120,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,허리보호벨트,20,90,110,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,허리보호방석,30,90,120,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,허리보호대파는곳,10,170,180,-,1,1,1,9,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,동영상,관련문서,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,허리보호대착용법,10,130,140,-,2,4,2,10,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,이미지,함께 많이 찾는,관련문서,네이버 가격비교,네이버플러스 스토어,웹문서,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,허리보조기착용방법,5,100,105,-,0,4,0,7,파워링크,AI 브리핑,건강 주제 네이버 메이트,동영상,관련문서,뉴스,함께 많이 찾는,관련문서,이미지,웹문서,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,허리보조기종류,50,160,210,-,2,3,2,6,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,허리보조기구,30,220,250,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,건강 주제 네이버 메이트,이미지,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,허리벨트,400,"1,540","1,940",-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,이미지,네이버 플리마켓,패션 주제 네이버 메이트,웹문서,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,허리밴드,270,"1,330","1,600",-,0,3,0,4,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,인기글,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,허리방사통증상,30,380,410,-,3,4,3,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,허리물리치료종류,10,110,120,-,2,7,2,6,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,네이버 가격비교,네이버플러스 스토어,이미지,관련문서,웹문서,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,허리물리치료시간,10,130,140,-,2,6,2,3,관련문서,파워링크,관련문서,이미지,웹문서,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,허리물리치료비용,40,310,350,-,2,7,2,6,AI 브리핑,관련문서,파워링크,네이버 클립,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,이미지,웹문서,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,허리매트,20,130,150,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,🤔 보류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,허리마사지기,"1,410","7,780","9,190",-,0,1,0,3,브랜드검색,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,지금 볼만한 브랜드,인플루언서서비스 홈 바로가기,인기글,웹문서,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,허리마사지,230,"1,330","1,560",-,2,5,2,7,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,건강 주제 네이버 메이트,네이버 클립,건강·의학 브랜드 콘텐츠,관련문서,인플루언서서비스 홈 바로가기,관련문서,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,허리디스크환자추천운동,10,140,150,-,4,5,4,7,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,네이버 클립,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,이미지,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,허리디스크협착증치료,10,130,140,-,2,5,2,5,AI 브리핑,건강 주제 네이버 메이트,파워링크,뉴스,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,허리디스크협착증차이,50,290,340,-,3,4,3,5,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,뉴스,관련문서,웹문서,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,허리디스크협착증운동치료법,20,270,290,-,3,4,3,4,파워링크,AI 브리핑,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,웹문서,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,허리디스크협착증운동,20,300,320,-,2,5,2,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,허리디스크협착증시술,20,200,220,-,2,4,2,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,뉴스,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,허리디스크파열치료,5,180,185,-,3,5,3,6,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,허리디스크파열자연치유,10,160,170,-,2,4,2,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,허리디스크파열수술비,10,130,140,-,3,5,3,7,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,허리디스크파열수술,10,100,110,-,2,5,2,5,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,허리디스크파스,70,470,540,-,3,9,3,3,AI 브리핑,건강 주제 네이버 메이트,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,파워링크,함께 많이 찾는,관련문서,웹문서,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,허리디스크통증완화,50,360,410,-,2,4,2,5,AI 브리핑,건강 주제 네이버 메이트,네이버 가격비교,네이버플러스 스토어,이미지,파워링크,함께 많이 찾는,관련문서,웹문서,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,허리디스크통증심할때,20,210,230,-,2,5,2,7,파워링크,AI 브리핑,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,허리디스크통증부위,10,110,120,-,1,5,1,5,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,관련문서,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,허리디스크토퍼,110,440,550,-,0,3,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,인기글,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,허리디스크터짐치료,20,220,240,-,3,4,3,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,허리디스크터짐자연치유,10,170,180,-,3,3,3,6,AI 브리핑,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,허리디스크터짐수술,10,140,150,-,3,5,3,7,AI 브리핑,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,허리디스크터지면회복,10,200,210,-,4,3,4,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,허리디스크터지면통증,5,100,105,-,3,5,3,7,AI 브리핑,파워링크,건강 주제 네이버 메이트,관련문서,이미지,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,허리디스크터지면치료,30,450,480,-,3,4,3,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,허리디스크터지면수술,5,140,145,-,3,4,3,6,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,허리디스크터졌을때증상,20,220,240,-,5,5,5,5,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,허리디스크탈출증,20,120,140,-,2,4,2,5,AI 브리핑,건강 주제 네이버 메이트,파워링크,네이버 가격비교,네이버플러스 스토어,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,허리디스크코어운동,40,110,150,-,3,4,3,6,AI 브리핑,건강 주제 네이버 메이트,네이버 클립,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,허리디스크침,20,150,170,-,4,5,4,5,관련문서,파워링크,함께 많이 찾는,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,허리디스크치료기,20,90,110,-,3,5,3,4,파워링크,AI 브리핑,건강 주제 네이버 메이트,네이버 가격비교,네이버플러스 스토어,동영상,관련문서,함께 많이 찾는,관련문서,이미지,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,허리디스크초기치료,20,120,140,-,6,5,6,3,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,허리디스크초기증상,330,"1,670","2,000",-,5,4,5,7,파워링크,건강·의학 브랜드 콘텐츠,함께 많이 찾는,관련문서,이미지,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,허리디스크초기운동,20,220,240,-,2,6,2,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,이미지,함께 많이 찾는,관련문서,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,허리디스크초기완치,20,150,170,-,2,4,2,7,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,허리디스크찜질,40,420,460,-,2,6,2,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,웹문서,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,허리디스크진단서,20,140,160,-,3,5,3,7,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,허리디스크진단비,10,160,170,-,3,4,3,7,AI 브리핑,파워링크,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,허리디스크증상초기,170,"1,140","1,310",-,2,6,2,7,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,허리디스크증상운동법,10,130,140,-,3,3,3,6,AI 브리핑,파워링크,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,웹문서,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,허리디스크증상,"1,720","16,700","18,420",-,3,4,3,6,파워링크,AI 브리핑,함께 찾는 질병,건강·의학 브랜드 콘텐츠,인플루언서서비스 홈 바로가기,이미지,함께 많이 찾는,관련문서,웹문서,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,허리디스크주사치료종류,10,100,110,-,3,3,3,10,AI 브리핑,파워링크,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,허리디스크주사,230,"1,110","1,340",-,5,3,5,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,네이버 클립,브랜드 콘텐츠,뉴스,함께 많이 찾는,관련문서,이미지,네이버 가격비교,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,허리디스크좋은자세,20,250,270,-,2,5,2,8,AI 브리핑,건강 주제 네이버 메이트,네이버 클립,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,허리디스크좋은음식,60,280,340,-,3,9,3,5,파워링크,AI 브리핑,건강 주제 네이버 메이트,이미지,함께 많이 찾는,관련문서,네이버 가격비교,네이버플러스 스토어,웹문서,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,허리디스크좋은운동,40,450,490,-,2,8,2,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,네이버 클립,이미지,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,웹문서,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,허리디스크전조증상,30,220,250,-,3,5,4,5,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,허리디스크재활센터,5,110,115,-,1,5,1,4,파워링크,관련문서,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,허리디스크장애등급,20,90,110,-,3,3,3,9,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,허리디스크잘보는병원,20,110,130,-,2,12,2,4,파워링크,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,허리디스크잘때,10,150,160,-,2,5,3,6,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
